step,loss
0,1.137515
200,0.265047
400,0.158223
600,0.125098
800,0.093586
1000,0.068627
1200,0.094507
1400,0.068905
1600,0.064911
1800,0.065909
2000,0.043069
2200,0.064667
2400,0.055259
2600,0.036917
2800,0.036241
3000,0.050060
3200,0.028250
3400,0.029085
3600,0.039542
3800,0.023105
4000,0.063043
4200,0.052591
4400,0.028210
4600,0.027492
4800,0.024340
5000,0.033833
5200,0.013794
5400,0.020805
5600,0.025868
5800,0.020242
6000,0.023764
6200,0.017500
6400,0.053844
6600,0.016039
6800,0.018233
7000,0.017611
7200,0.013429
7400,0.029258
7600,0.043029
7800,0.016783
8000,0.010341
8200,0.023093
8400,0.015847
8600,0.021236
8800,0.021596
9000,0.017679
9200,0.026123
9400,0.016860
9600,0.019852
9800,0.023859
10000,0.020261
10200,0.013415
10400,0.017666
10600,0.018935
10800,0.016597
11000,0.031473
11200,0.019490
11400,0.015205
11600,0.016735
11800,0.010608
12000,0.016430
12200,0.017955
12400,0.013339
12600,0.051203
12800,0.019085
13000,0.021122
13200,0.011940
13400,0.015099
13600,0.026870
13800,0.017727
14000,0.016872
14200,0.014007
14400,0.019334
14600,0.015640
14800,0.037665
15000,0.034713
15200,0.018437
15400,0.020268
15600,0.021189
15800,0.023784
16000,0.014549
16200,0.014361
16400,0.013848
16600,0.022145
16800,0.022324
17000,0.020286
17200,0.016195
17400,0.052150
17600,0.020630
17800,0.017126
18000,0.011217
18200,0.026262
18400,0.014823
18600,0.015965
18800,0.029047
19000,0.014285
19200,0.019683
19400,0.023663
19600,0.021958
19800,0.012299
20000,0.012332
20200,0.066044
20400,0.016302
20600,0.014168
20800,0.009616
21000,0.020602
21200,0.012546
21400,0.020944
21600,0.024452
21800,0.019924
22000,0.010398
22200,0.014335
22400,0.022735
22600,0.021460
22800,0.019215
23000,0.020777
23200,0.017362
23400,0.023819
23600,0.051925
23800,0.033997
24000,0.020180
24200,0.018126
24400,0.015897
24600,0.020835
24800,0.018124
25000,0.016607
25200,0.018057
25400,0.015321
25600,0.018350
25800,0.012002
26000,0.012188
26200,0.021537
26400,0.018398
26600,0.009006
26800,0.032453
27000,0.013355
27200,0.013053
27400,0.022365
27600,0.020737
27800,0.017840
28000,0.018797
28200,0.007869
28400,0.019398
28600,0.019423
28800,0.008031
29000,0.017650
29200,0.016756
29400,0.012706
29600,0.012049
29800,0.022031
30000,0.031712
30200,0.016374
30400,0.008459
30600,0.008333
30800,0.024344
31000,0.024660
31200,0.021163
31400,0.020745
31600,0.016466
31800,0.014200
32000,0.013705
32200,0.019439
32400,0.014181
32600,0.013739
32800,0.017587
33000,0.011551
33200,0.021518
33400,0.008427
33600,0.016707
33800,0.013978
34000,0.007887
34200,0.026441
34400,0.012616
34600,0.022366
34800,0.010913
35000,0.020322
35200,0.019262
35400,0.014524
35600,0.020076
35800,0.032734
36000,0.022796
36200,0.008052
36400,0.019975
36600,0.019246
36800,0.014814
37000,0.019177
37200,0.010000
37400,0.017532
37600,0.022003
37800,0.021892
38000,0.014243
38200,0.019583
38400,0.013411
38600,0.019073
38800,0.028077
39000,0.014795
39200,0.012640
39400,0.014281
39600,0.009369
39800,0.025987
40000,0.014812
40200,0.014929
40400,0.022960
40600,0.010953
40800,0.016665
41000,0.016594
41200,0.008988
41400,0.015343
41600,0.025143
41800,0.014538
42000,0.013366
42200,0.015863
42400,0.017863
42600,0.014272
42800,0.021012
43000,0.013269
43200,0.017260
43400,0.014384
43600,0.027950
43800,0.011955
44000,0.017592
44200,0.014100
44400,0.008239
44600,0.025282
44800,0.022471
45000,0.013620
45200,0.011770
45400,0.015060
45600,0.011585
45800,0.048184
46000,0.018809
46200,0.009639
46400,0.040734
46600,0.017209
46800,0.018004
47000,0.010935
47200,0.012022
47400,0.010136
47600,0.016502
47800,0.017642
48000,0.017890
48200,0.016917
48400,0.013588
48600,0.013494
48800,0.019471
49000,0.023463
49200,0.020390
49400,0.013324
49600,0.019498
49800,0.020961
50000,0.029085
50200,0.016423
50400,0.014947
50600,0.008956
50800,0.013946
51000,0.017763
51200,0.007390
51400,0.017393
51600,0.016411
51800,0.010904
52000,0.014194
52200,0.027604
52400,0.016409
52600,0.014383
52800,0.012839
53000,0.012428
53200,0.013986
53400,0.014407
53600,0.017406
53800,0.017793
54000,0.017826
54200,0.014553
54400,0.018273
54600,0.015590
54800,0.017535
55000,0.009042
55200,0.022246
55400,0.019576
55600,0.042578
55800,0.023256
56000,0.014250
56200,0.010688
56400,0.016906
56600,0.012258
56800,0.019104
57000,0.012393
57200,0.020557
57400,0.010772
57600,0.009174
57800,0.019234
58000,0.008468
58200,0.008113
58400,0.018689
58600,0.018817
58800,0.020288
59000,0.016815
59200,0.018136
59400,0.019709
59600,0.019634
59800,0.009370
60000,0.017783
60200,0.023451
60400,0.018612
60600,0.013325
60800,0.014355
61000,0.026154
61200,0.014562
61400,0.011623
61600,0.016132
61800,0.036151
62000,0.011381
62200,0.013614
62400,0.013716
62600,0.031213
62800,0.011660
63000,0.015791
63200,0.008611
63400,0.008931
63600,0.013491
63800,0.022511
64000,0.022560
64200,0.019490
64400,0.019230
64600,0.012622
64800,0.011934
65000,0.016268
65200,0.012609
65400,0.015414
65600,0.019303
65800,0.007247
66000,0.027417
66200,0.023004
66400,0.037618
66600,0.015739
66800,0.030765
67000,0.008899
67200,0.010992
67400,0.015904
67600,0.009442
67800,0.009900
68000,0.014771
68200,0.019439
68400,0.017115
68600,0.010070
68800,0.018366
69000,0.021171
69200,0.011999
69400,0.015296
69600,0.008391
69800,0.034380
70000,0.010754
70200,0.007383
70400,0.014752
70600,0.008853
70800,0.008470
71000,0.012987
71200,0.013455
71400,0.014193
71600,0.016229
71800,0.015880
72000,0.018329
72200,0.012094
72400,0.014998
72600,0.017770
72800,0.010025
73000,0.016068
73200,0.025258
73400,0.017335
73600,0.021857
73800,0.013082
74000,0.022356
74200,0.013611
74400,0.028249
74600,0.008464
74800,0.015564
75000,0.013601
75200,0.011815
75400,0.013324
75600,0.008629
75800,0.029963
76000,0.011523
76200,0.014853
76400,0.019182
76600,0.008831
76800,0.022610
77000,0.016812
77200,0.010419
77400,0.014784
77600,0.013583
77800,0.014876
78000,0.007814
78200,0.013995
78400,0.011832
78600,0.018522
78800,0.009303
79000,0.020690
79200,0.009432
79400,0.016014
79600,0.012390
79800,0.012466
80000,0.020270
80200,0.018115
80400,0.008818
80600,0.014352
80800,0.015644
81000,0.016860
81200,0.012956
81400,0.007033
81600,0.007653
81800,0.012042
82000,0.017111
82200,0.016368
82400,0.007054
82600,0.020860
82800,0.011032
83000,0.016298
83200,0.013934
83400,0.014793
83600,0.006403
83800,0.017126
84000,0.007304
84200,0.017308
84400,0.041419
84600,0.012939
84800,0.017779
85000,0.007195
85200,0.012860
85400,0.022677
85600,0.018904
85800,0.014118
86000,0.013525
86200,0.012708
86400,0.015104
86600,0.008772
86800,0.018508
87000,0.009738
87200,0.012826
87400,0.020494
87600,0.018343
87800,0.022498
88000,0.011371
88200,0.012122
88400,0.012765
88600,0.009356
88800,0.006327
89000,0.013201
89200,0.008742
89400,0.007531
89600,0.014931
89800,0.017190
90000,0.009608
90200,0.017151
90400,0.011891
90600,0.016449
90800,0.011620
91000,0.016457
91200,0.023268
91400,0.008539
91600,0.009923
91800,0.006341
92000,0.015852
92200,0.025197
92400,0.007938
92600,0.018801
92800,0.014407
93000,0.013775
93200,0.013622
93400,0.010023
93600,0.026648
93800,0.016102
94000,0.018689
94200,0.023133
94400,0.009592
94600,0.011057
94800,0.026327
95000,0.018376
95200,0.034532
95400,0.012470
95600,0.011675
95800,0.012776
96000,0.012326
96200,0.011445
96400,0.021208
96600,0.005826
96800,0.040511
97000,0.011073
97200,0.010766
97400,0.010327
97600,0.014955
97800,0.010514
98000,0.018314
98200,0.013104
98400,0.013501
98600,0.014137
98800,0.019107
99000,0.012843
99200,0.014497
99400,0.014509
99600,0.012028
99800,0.014212
