step,loss
0,1.057063
50,0.283674
100,0.149683
150,0.098083
200,0.074836
250,0.063015
300,0.053643
350,0.048942
400,0.043396
450,0.036717
500,0.031624
550,0.026682
600,0.023595
650,0.024002
700,0.021356
750,0.021574
800,0.017847
850,0.017556
900,0.016898
950,0.017464
1000,0.018270
1050,0.015544
1100,0.016825
1150,0.016692
1200,0.014965
1250,0.013875
1300,0.014618
1350,0.016438
1400,0.013229
1450,0.014715
1500,0.012653
1550,0.013954
1600,0.012613
1650,0.011723
1700,0.013689
1750,0.013067
1800,0.012732
1850,0.011748
1900,0.012218
1950,0.011845
2000,0.011488
2050,0.012327
2100,0.013625
2150,0.011244
2200,0.012156
2250,0.012691
2300,0.009425
2350,0.010625
2400,0.010680
2450,0.010572
2500,0.011276
2550,0.009203
2600,0.011479
2650,0.011379
2700,0.009540
2750,0.009830
2800,0.010382
2850,0.011093
2900,0.010816
2950,0.009768
3000,0.010921
3050,0.009490
3100,0.010485
3150,0.009671
3200,0.009685
3250,0.010000
3300,0.010376
3350,0.009309
3400,0.010122
3450,0.009679
3500,0.010229
3550,0.010010
3600,0.011590
3650,0.009177
3700,0.009635
3750,0.010904
3800,0.009087
3850,0.009216
3900,0.010450
3950,0.009030
4000,0.007211
4050,0.009508
4100,0.009644
4150,0.010114
4200,0.008442
4250,0.009199
4300,0.007282
4350,0.008211
4400,0.007926
4450,0.010521
4500,0.008723
4550,0.008602
4600,0.008559
4650,0.008729
4700,0.009349
4750,0.008502
4800,0.007437
4850,0.008910
4900,0.008040
4950,0.007571
5000,0.008556
5050,0.008525
5100,0.006910
5150,0.010447
5200,0.008518
5250,0.007794
5300,0.006905
5350,0.008931
5400,0.008468
5450,0.007435
5500,0.008263
5550,0.008113
5600,0.009390
5650,0.008854
5700,0.007581
5750,0.009667
5800,0.007356
5850,0.007425
5900,0.010169
5950,0.007525
6000,0.007693
6050,0.006715
6100,0.007437
6150,0.008421
6200,0.006608
6250,0.007252
6300,0.008196
6350,0.006756
6400,0.007104
6450,0.008497
6500,0.008378
6550,0.007103
6600,0.006709
6650,0.007935
6700,0.009307
6750,0.008122
6800,0.007330
6850,0.007709
6900,0.006429
6950,0.007564
7000,0.008344
7050,0.006887
7100,0.007736
7150,0.007024
7200,0.007428
7250,0.007463
7300,0.009544
7350,0.007118
7400,0.006269
7450,0.006897
7500,0.006029
7550,0.007793
7600,0.007424
7650,0.009014
7700,0.007034
7750,0.008042
7800,0.008126
7850,0.006874
7900,0.007820
7950,0.007163
8000,0.006837
8050,0.005765
8100,0.007471
8150,0.006676
8200,0.007432
8250,0.006153
8300,0.007361
8350,0.007949
8400,0.006247
8450,0.006891
8500,0.006410
8550,0.005850
8600,0.008291
8650,0.006871
8700,0.008807
8750,0.009003
8800,0.006446
8850,0.006970
8900,0.007856
8950,0.007050
9000,0.007276
9050,0.005821
9100,0.008948
9150,0.007796
9200,0.008746
9250,0.006372
9300,0.006670
9350,0.008016
9400,0.009105
9450,0.007184
9500,0.007735
9550,0.006339
9600,0.006599
9650,0.007548
9700,0.008173
9750,0.008288
9800,0.007304
9850,0.007567
9900,0.006550
9950,0.005951
10000,0.006527
10050,0.007293
10100,0.006352
10150,0.006755
10200,0.007248
10250,0.006613
10300,0.006350
10350,0.005843
10400,0.006121
10450,0.005752
10500,0.006461
10550,0.007755
10600,0.009654
10650,0.005732
10700,0.006117
10750,0.008528
10800,0.005898
10850,0.006366
10900,0.004665
10950,0.005539
11000,0.006519
11050,0.006425
11100,0.005955
11150,0.006406
11200,0.006643
11250,0.006841
11300,0.006291
11350,0.007297
11400,0.006692
11450,0.006992
11500,0.006571
11550,0.005575
11600,0.006533
11650,0.007323
11700,0.005474
11750,0.005622
11800,0.006626
11850,0.005567
11900,0.006132
11950,0.007930
12000,0.005997
12050,0.009496
12100,0.006450
12150,0.008060
12200,0.005744
12250,0.005752
12300,0.007429
12350,0.009855
12400,0.005825
12450,0.008364
12500,0.006667
12550,0.005567
12600,0.005803
12650,0.005315
12700,0.006538
12750,0.005105
12800,0.006220
12850,0.007108
12900,0.005933
12950,0.005572
13000,0.006296
13050,0.005404
13100,0.005842
13150,0.006125
13200,0.005482
13250,0.005856
13300,0.007485
13350,0.007076
13400,0.005100
13450,0.005708
13500,0.005608
13550,0.005531
13600,0.008149
13650,0.005453
13700,0.007325
13750,0.005525
13800,0.005595
13850,0.008630
13900,0.006794
13950,0.005201
14000,0.007030
14050,0.007097
14100,0.005691
14150,0.008025
14200,0.004768
14250,0.008071
14300,0.004712
14350,0.007467
14400,0.007327
14450,0.006200
14500,0.005937
14550,0.006570
14600,0.005799
14650,0.005354
14700,0.006156
14750,0.005595
14800,0.008550
14850,0.005588
14900,0.006668
14950,0.007079
15000,0.005556
15050,0.005856
15100,0.005968
15150,0.005639
15200,0.004947
15250,0.006003
15300,0.006253
15350,0.006502
15400,0.005686
15450,0.005810
15500,0.005258
15550,0.004865
15600,0.005969
15650,0.005649
15700,0.005491
15750,0.004917
15800,0.005376
15850,0.004792
15900,0.006355
15950,0.005822
16000,0.006140
16050,0.006158
16100,0.005682
16150,0.005669
16200,0.005666
16250,0.005727
16300,0.005289
16350,0.006132
16400,0.005469
16450,0.006634
16500,0.005576
16550,0.006403
16600,0.005130
16650,0.005252
16700,0.006176
16750,0.004941
16800,0.006992
16850,0.006979
16900,0.005590
16950,0.005351
17000,0.004836
17050,0.004986
17100,0.005689
17150,0.006317
17200,0.007091
17250,0.006779
17300,0.006986
17350,0.004939
17400,0.004772
17450,0.005548
17500,0.005537
17550,0.005285
17600,0.006338
17650,0.006846
17700,0.005544
17750,0.005206
17800,0.005417
17850,0.005207
17900,0.005981
17950,0.006196
18000,0.006952
18050,0.006388
18100,0.005221
18150,0.006175
18200,0.004914
18250,0.005335
18300,0.005329
18350,0.005157
18400,0.005810
18450,0.005467
18500,0.008809
18550,0.005355
18600,0.008572
18650,0.007374
18700,0.006657
18750,0.005879
18800,0.005917
18850,0.007214
18900,0.006294
18950,0.004451
19000,0.006168
19050,0.006488
19100,0.005231
19150,0.005784
19200,0.006665
19250,0.004743
19300,0.005769
19350,0.005192
19400,0.004931
19450,0.005703
19500,0.005975
19550,0.005274
19600,0.004859
19650,0.006320
19700,0.005999
19750,0.007261
19800,0.004976
19850,0.005824
19900,0.005740
19950,0.004395
20000,0.007842
20050,0.006469
20100,0.005704
20150,0.005561
20200,0.004936
20250,0.005027
20300,0.005343
20350,0.005632
20400,0.007975
20450,0.007366
20500,0.007034
20550,0.005408
20600,0.005823
20650,0.005602
20700,0.005962
20750,0.005131
20800,0.004971
20850,0.006414
20900,0.005601
20950,0.004866
21000,0.004877
21050,0.005582
21100,0.005711
21150,0.005624
21200,0.006495
21250,0.004248
21300,0.006623
21350,0.005885
21400,0.005712
21450,0.006201
21500,0.004416
21550,0.005500
21600,0.005711
21650,0.005677
21700,0.004551
21750,0.006376
21800,0.005582
21850,0.005366
21900,0.006282
21950,0.005805
22000,0.005315
22050,0.005231
22100,0.005261
22150,0.005877
22200,0.006603
22250,0.004056
22300,0.006390
22350,0.004940
22400,0.005559
22450,0.005424
22500,0.005179
22550,0.005635
22600,0.005123
22650,0.006439
22700,0.006905
22750,0.006492
22800,0.005822
22850,0.005192
22900,0.005441
22950,0.005737
23000,0.004740
23050,0.005349
23100,0.005873
23150,0.005884
23200,0.005211
23250,0.003992
23300,0.005736
23350,0.006138
23400,0.005229
23450,0.007302
23500,0.005558
23550,0.006535
23600,0.004920
23650,0.004360
23700,0.005171
23750,0.004803
23800,0.006356
23850,0.005938
23900,0.005297
23950,0.005188
24000,0.004665
24050,0.004589
24100,0.005766
24150,0.005027
24200,0.004932
24250,0.005880
24300,0.005134
24350,0.005148
24400,0.005015
24450,0.004995
24500,0.005520
24550,0.005390
24600,0.004680
24650,0.004078
24700,0.004459
24750,0.005921
24800,0.005174
24850,0.005101
24900,0.006160
24950,0.006515
25000,0.005472
25050,0.005289
25100,0.006367
25150,0.006125
25200,0.007208
25250,0.005702
25300,0.005463
25350,0.005607
25400,0.006446
25450,0.004570
25500,0.005412
25550,0.005053
25600,0.005324
25650,0.004704
25700,0.005033
25750,0.006092
25800,0.005170
25850,0.005425
25900,0.006742
25950,0.006811
26000,0.005123
26050,0.006206
26100,0.005207
26150,0.006173
26200,0.005223
26250,0.005059
26300,0.004891
26350,0.005902
26400,0.004723
26450,0.006216
26500,0.004069
26550,0.005840
26600,0.004967
26650,0.005970
26700,0.005319
26750,0.005568
26800,0.004982
26850,0.006331
26900,0.004667
26950,0.004867
27000,0.005094
27050,0.004909
27100,0.005813
27150,0.004977
27200,0.004904
27250,0.006204
27300,0.004528
27350,0.004346
27400,0.006067
27450,0.004282
27500,0.004587
27550,0.005171
27600,0.005042
27650,0.005560
27700,0.005148
27750,0.004665
27800,0.004739
27850,0.005023
27900,0.006574
27950,0.005329
28000,0.005945
28050,0.004493
28100,0.006211
28150,0.004656
28200,0.004831
28250,0.007219
28300,0.005219
28350,0.004118
28400,0.006157
28450,0.004781
28500,0.005390
28550,0.005160
28600,0.006530
28650,0.005311
28700,0.004847
28750,0.005089
28800,0.005384
28850,0.003860
28900,0.007180
28950,0.006064
29000,0.005131
29050,0.005971
29100,0.007289
29150,0.005086
29200,0.005562
29250,0.004493
29300,0.004849
29350,0.005031
29400,0.005098
29450,0.005252
29500,0.006476
29550,0.005269
29600,0.005285
29650,0.004559
29700,0.004571
29750,0.006137
29800,0.005645
29850,0.005520
29900,0.004699
29950,0.004830
30000,0.006599
30050,0.004857
30100,0.004948
30150,0.005439
30200,0.005434
30250,0.005366
30300,0.004791
30350,0.005315
30400,0.004856
30450,0.004186
30500,0.005924
30550,0.005625
30600,0.005018
30650,0.005176
30700,0.005028
30750,0.005708
30800,0.004278
30850,0.004894
30900,0.006457
30950,0.005011
31000,0.006237
31050,0.005671
31100,0.004780
31150,0.004581
31200,0.005456
31250,0.008407
31300,0.004982
31350,0.004838
31400,0.005155
31450,0.005025
31500,0.005297
31550,0.004780
31600,0.005544
31650,0.005231
31700,0.005376
31750,0.005398
31800,0.004677
31850,0.004035
31900,0.004244
31950,0.004898
32000,0.005463
32050,0.004993
32100,0.005318
32150,0.005641
32200,0.003822
32250,0.006048
32300,0.005232
32350,0.004418
32400,0.004932
32450,0.004830
32500,0.006935
32550,0.005479
32600,0.004096
32650,0.005011
32700,0.005047
32750,0.004589
32800,0.005274
32850,0.005025
32900,0.004845
32950,0.006223
33000,0.005262
33050,0.005190
33100,0.006284
33150,0.006002
33200,0.004996
33250,0.005756
33300,0.004677
33350,0.006511
33400,0.005347
33450,0.005605
33500,0.004578
33550,0.005984
33600,0.004571
33650,0.004932
33700,0.004732
33750,0.006281
33800,0.004418
33850,0.005222
33900,0.005103
33950,0.004975
34000,0.005447
34050,0.005529
34100,0.004729
34150,0.006308
34200,0.005355
34250,0.003962
34300,0.004512
34350,0.005467
34400,0.005500
34450,0.004882
34500,0.005963
34550,0.004696
34600,0.005266
34650,0.005004
34700,0.005073
34750,0.005851
34800,0.005164
34850,0.004097
34900,0.004727
34950,0.004295
35000,0.004992
35050,0.004821
35100,0.005469
35150,0.004964
35200,0.005074
35250,0.004714
35300,0.005192
35350,0.003972
35400,0.005440
35450,0.004546
35500,0.004083
35550,0.006252
35600,0.005413
35650,0.004389
35700,0.005530
35750,0.005390
35800,0.005182
35850,0.005830
35900,0.005627
35950,0.005310
36000,0.005009
36050,0.004819
36100,0.004576
36150,0.004741
36200,0.005450
36250,0.004724
36300,0.005629
36350,0.004649
36400,0.004251
36450,0.005043
36500,0.005197
36550,0.004464
36600,0.007186
36650,0.003812
36700,0.004322
36750,0.004220
36800,0.006207
36850,0.004403
36900,0.004373
36950,0.004452
37000,0.006976
37050,0.005275
37100,0.004547
37150,0.004628
37200,0.004410
37250,0.005580
37300,0.004634
37350,0.004563
37400,0.004222
37450,0.004556
37500,0.005375
37550,0.006090
37600,0.004068
37650,0.004095
37700,0.006481
37750,0.004589
37800,0.004877
37850,0.004839
37900,0.005009
37950,0.004496
38000,0.005470
38050,0.004244
38100,0.005976
38150,0.005652
38200,0.004975
38250,0.005406
38300,0.004626
38350,0.005347
38400,0.004684
38450,0.004257
38500,0.006609
38550,0.004481
38600,0.004761
38650,0.007874
38700,0.006057
38750,0.004671
38800,0.004116
38850,0.004931
38900,0.005095
38950,0.005135
39000,0.004761
39050,0.005278
39100,0.005164
39150,0.005096
39200,0.004931
39250,0.005749
39300,0.004662
39350,0.004683
39400,0.004828
39450,0.005154
39500,0.005515
39550,0.003460
39600,0.005628
39650,0.004335
39700,0.005695
39750,0.004959
39800,0.004752
39850,0.004279
39900,0.004199
39950,0.005251
40000,0.004595
40050,0.004580
40100,0.003700
40150,0.004659
40200,0.004226
40250,0.005372
40300,0.004895
40350,0.006382
40400,0.005920
40450,0.005476
40500,0.003927
40550,0.005231
40600,0.005216
40650,0.005552
40700,0.004535
40750,0.004290
40800,0.004311
40850,0.004489
40900,0.005040
40950,0.005227
41000,0.005189
41050,0.005517
41100,0.005361
41150,0.004306
41200,0.005615
41250,0.005483
41300,0.006140
41350,0.004666
41400,0.004261
41450,0.004204
41500,0.005148
41550,0.004659
41600,0.004811
41650,0.004946
41700,0.004459
41750,0.004448
41800,0.005047
41850,0.004346
41900,0.007195
41950,0.005239
42000,0.005218
42050,0.004897
42100,0.005559
42150,0.005527
42200,0.004269
42250,0.003667
42300,0.004763
42350,0.004954
42400,0.005832
42450,0.004052
42500,0.005484
42550,0.004656
42600,0.004576
42650,0.004286
42700,0.004441
42750,0.004727
42800,0.005399
42850,0.005140
42900,0.005056
42950,0.004567
43000,0.004792
43050,0.004478
43100,0.005544
43150,0.004684
43200,0.004543
43250,0.004449
43300,0.004296
43350,0.004949
43400,0.003967
43450,0.004603
43500,0.006127
43550,0.004344
43600,0.004659
43650,0.004450
43700,0.006283
43750,0.004400
43800,0.003979
43850,0.004374
43900,0.004996
43950,0.005491
44000,0.004798
44050,0.004931
44100,0.004844
44150,0.005165
44200,0.005876
44250,0.004610
44300,0.005958
44350,0.005053
44400,0.005100
44450,0.005114
44500,0.004825
44550,0.004240
44600,0.005196
44650,0.005248
44700,0.005246
44750,0.005187
44800,0.006287
44850,0.004312
44900,0.004920
44950,0.005564
45000,0.005419
45050,0.006101
45100,0.004353
45150,0.004565
45200,0.004292
45250,0.004000
45300,0.005382
45350,0.004013
45400,0.004767
45450,0.004601
45500,0.004733
45550,0.004575
45600,0.004854
45650,0.004525
45700,0.004591
45750,0.004653
45800,0.003802
45850,0.004424
45900,0.006119
45950,0.004356
46000,0.004271
46050,0.004611
46100,0.005817
46150,0.005103
46200,0.004633
46250,0.004450
46300,0.004577
46350,0.004322
46400,0.004212
46450,0.004043
