step,loss
0,1.121549
200,0.286523
400,0.138785
600,0.097608
800,0.082698
1000,0.073356
1200,0.058369
1400,0.049962
1600,0.057982
1800,0.034148
2000,0.037672
2200,0.032047
2400,0.031587
2600,0.029603
2800,0.024398
3000,0.024091
3200,0.025059
3400,0.017142
3600,0.028795
3800,0.022794
4000,0.025395
4200,0.018774
4400,0.019974
4600,0.017089
4800,0.016863
5000,0.019433
5200,0.017613
5400,0.013993
5600,0.019798
5800,0.011534
6000,0.013659
6200,0.012963
6400,0.012412
6600,0.022775
6800,0.012535
7000,0.027158
7200,0.017002
7400,0.009681
7600,0.010980
7800,0.016159
8000,0.014633
8200,0.013910
8400,0.010999
8600,0.011818
8800,0.008308
9000,0.020884
9200,0.014449
9400,0.016807
9600,0.019472
9800,0.015416
10000,0.009394
10200,0.031158
10400,0.013503
10600,0.006981
10800,0.015687
11000,0.009094
11200,0.015414
11400,0.018692
11600,0.011255
11800,0.014624
12000,0.014950
12200,0.011448
12400,0.011358
12600,0.010125
12800,0.018950
13000,0.012863
13200,0.012044
13400,0.010397
13600,0.013929
13800,0.014911
14000,0.009332
14200,0.012183
14400,0.008749
14600,0.010742
14800,0.007569
15000,0.025300
15200,0.008910
15400,0.011736
15600,0.016206
15800,0.012252
16000,0.013465
16200,0.012148
16400,0.012651
16600,0.014651
16800,0.009728
17000,0.007026
17200,0.011961
17400,0.008110
17600,0.010478
17800,0.007117
18000,0.009514
18200,0.011353
18400,0.020768
18600,0.014862
18800,0.008739
19000,0.008845
19200,0.012138
19400,0.013029
19600,0.010777
19800,0.007920
20000,0.010157
20200,0.014216
20400,0.014287
20600,0.008855
20800,0.013607
21000,0.008114
21200,0.012832
21400,0.010084
21600,0.014173
21800,0.005250
22000,0.016810
22200,0.007509
22400,0.009400
22600,0.009008
22800,0.008174
23000,0.012048
23200,0.010724
23400,0.014295
23600,0.024470
23800,0.010913
24000,0.010881
24200,0.018952
24400,0.007125
24600,0.009734
24800,0.011453
25000,0.011555
25200,0.006795
25400,0.014310
25600,0.011431
25800,0.008031
26000,0.014691
26200,0.011425
26400,0.006485
26600,0.010691
26800,0.008943
27000,0.011504
27200,0.009173
27400,0.018484
27600,0.009061
27800,0.008698
28000,0.014380
28200,0.011844
28400,0.008574
28600,0.010690
28800,0.010615
29000,0.015151
29200,0.009941
29400,0.018378
29600,0.011981
29800,0.011286
30000,0.009144
30200,0.009560
30400,0.006081
30600,0.006416
30800,0.014487
31000,0.009986
31200,0.008424
31400,0.008984
31600,0.028145
31800,0.016763
32000,0.010501
32200,0.012654
32400,0.008513
32600,0.007938
32800,0.008076
33000,0.008035
33200,0.010567
33400,0.010103
33600,0.021635
33800,0.010908
34000,0.015743
34200,0.009720
34400,0.010015
34600,0.009317
34800,0.011863
35000,0.012448
35200,0.010620
35400,0.006892
35600,0.006626
35800,0.006954
36000,0.009702
36200,0.011715
36400,0.012194
36600,0.011728
36800,0.012827
37000,0.009260
37200,0.015360
37400,0.009779
37600,0.008233
37800,0.009294
38000,0.005234
38200,0.006184
38400,0.014340
38600,0.014351
38800,0.006996
39000,0.008491
39200,0.012692
39400,0.012986
39600,0.007025
39800,0.009232
40000,0.012584
40200,0.010221
40400,0.014154
40600,0.009267
40800,0.016096
41000,0.012959
41200,0.011781
41400,0.014169
41600,0.009937
41800,0.017555
42000,0.012825
42200,0.012054
42400,0.028108
42600,0.011004
42800,0.009653
43000,0.006333
43200,0.014005
43400,0.009651
43600,0.012646
43800,0.011092
44000,0.009190
44200,0.012014
